"","incident_number","exposure_number","alarm_date","alarm_time","incident_type","incident_description","estimated_property_loss","estimated_content_loss","district","city_section","neighborhood","zip","property_use","property_description","street_number","street_prefix","street_name","street_suffix","street_type","address_2","xstreet_prefix","xstreet_name","xstreet_suffix","xstreet_type","loss_sum","fire"
"359607","15-0067761",0,"2015-10-23","23:09:41","131","Passenger vehicle fire",2000,0,"09","RX","Roxbury","02115","900","Outside or special property, Other","875","","HUNTINGTON","","AVE","","","","","",2000,1
"359611","15-0067766",0,"2015-10-23","23:32:52","111","Building fire",40000,0,"07","DO","Dorchester","02122","429","Multifamily dwelling","137","","HOMES","","AVE","","","","","",40000,1
"359612","15-0067768",0,"2015-10-23","23:49:41","131","Passenger vehicle fire",10000,300,"12","RS","Roslindale","02131","960","Street, Other","","","CANTERBURY","","ST","","","NAVARRE","","ST",10300,1
"359666","15-0067337",0,"2015-10-22","12:33:38","111","Building fire",800,800,"03","BO","Boston","02114","429","Multifamily dwelling","8","","REVERE","","ST","","","","","",1600,1
"359743","15-0067486",0,"2015-10-22","22:55:09","111","Building fire",500,0,"01","EB","East Boston","02128","429","Multifamily dwelling","61","","EUTAW","","ST",": #12-6172","","","","",500,1
"359789","15-0067105",0,"2015-10-21","09:54:20","111","Building fire",15000,5000,"12","HP","Hyde Park","02136","419","1 or 2 family dwelling","7","","FARADAY","","ST","","","","","",20000,1
"359857","15-0067214",0,"2015-10-21","18:32:25","113","Cooking fire, confined to container",5000,2000,"03","CH","Charlestown","02129","429","Multifamily dwelling","30","","CALDWELL","","ST","","","","","",7000,1
"359963","15-0066965",0,"2015-10-20","17:15:54","113","Cooking fire, confined to container",500,500,"08","DO","Dorchester","02124","429","Multifamily dwelling","135","","SPENCER","","ST","","","","","",1000,1
"360107","15-0066774",0,"2015-10-19","17:51:48","131","Passenger vehicle fire",5000,200,"11","BR","Allston-Brighton","02134","960","Street, Other","","","LINCOLN","","ST","","","CAMBRIDGE","","ST",5200,1
"360128","15-0066809",0,"2015-10-19","20:29:49","111","Building fire",700000,50000,"04","BO","Boston","02111","429","Multifamily dwelling","84","","HARRISON","","AVE","","","","","",750000,1
"360162","15-0066438",0,"2015-10-18","07:01:00","140","Natural vegetation fire, Other",1000,1000,"08","DO","Dorchester","02124","900","Outside or special property, Other","","","MEDWAY","","ST","","","VENTURA","","ST",2000,1
"360204","15-0066499",0,"2015-10-18","13:37:42","130","Mobile property (vehicle) fire, Other",500,0,"06","SB","South Boston","02127","965","Vehicle parking area","74","W","SEVENTH","","ST","","","","","",500,1
"360232","15-0066542",0,"2015-10-18","17:49:35","131","Passenger vehicle fire",10000,0,"08","DO","Dorchester","02124","962","Residential street, road or residential driveway","18","","ARGYLE","","ST","","","","","",10000,1
"360268","15-0066601",0,"2015-10-18","23:37:03","131","Passenger vehicle fire",1000,0,"07","DO","Dorchester","02125","965","Vehicle parking area","1129","","DORCHESTER","","AVE","","","","","",1000,1
"360281","15-0066194",0,"2015-10-17","02:24:41","111","Building fire",50000,50000,"08","DO","Dorchester","02124","429","Multifamily dwelling","123","","RICHMOND","","ST","","","","","",100000,1
"360327","15-0066268",0,"2015-10-17","12:30:06","131","Passenger vehicle fire",5000,500,"09","RX","Roxbury","02115","960","Street, Other","","","PONCE","","WAY","","","WARD","","ST",5500,1
"360352","15-0066301",0,"2015-10-17","14:57:25","111","Building fire",50000,0,"07","DO","Dorchester","02125","429","Multifamily dwelling","27","","HARBOR VIEW","","ST","","","","","",50000,1
"360353","15-0066301",1,"2015-10-17","14:57:25","111","Building fire",5000,0,"07","DO","Dorchester","02125","429","Multifamily dwelling","33","","HARBOR VIEW","","ST","","","","","",5000,1
"360402","15-0066391",0,"2015-10-17","23:27:11","100","Fire, Other",3000,1000,"03","BO","Boston","02108","400","Residential, Other","26","","CHESTNUT","","ST","","","","","",4000,1
"360412","15-0065976",0,"2015-10-16","04:48:05","113","Cooking fire, confined to container",500,0,"04","BO","Boston","02115","429","Multifamily dwelling","97","","SAINT STEPHEN","","ST","","","","","",500,1
"360497","15-0066125",0,"2015-10-16","18:27:33","131","Passenger vehicle fire",4000,100,"09","RX","Roxbury","02119","962","Residential street, road or residential driveway","","","WASHINGTON","","ST",": #2445","","COLUMBUS","","AVE",4100,1
"360547","15-0065778",0,"2015-10-15","08:01:47","113","Cooking fire, confined to container",1000,1000,"12","WR","West Roxbury","02132","500","Mercantile, business, Other","1675","","VFW","","PKWY","","","","","",2000,1
"360555","15-0065795",0,"2015-10-15","09:47:04","118","Trash or rubbish fire, contained",0,500,"07","DO","Dorchester","02122","215","High school/junior high school/middle school","11","","CHARLES","","ST",": #12-3148","","","","",500,1
"360572","15-0065830",0,"2015-10-15","12:51:34","131","Passenger vehicle fire",5000,2000,"06","SB","South Boston","02127","962","Residential street, road or residential driveway","","","K","","ST",": alias K/7TH ST","E","SEVENTH","","ST",7000,1
"360587","15-0065862",0,"2015-10-15","14:46:42","131","Passenger vehicle fire",15000,1000,"06","SB","South Boston","02127","962","Residential street, road or residential driveway","","E","THIRD","","ST",": #7332","","FARRAGUT","","RD",16000,1
"360591","15-0065868",0,"2015-10-15","15:27:36","111","Building fire",1500,100,"08","MT","Mattapan","02126","429","Multifamily dwelling","20","","FAIRLAWN","","AVE","","","","","",1600,1
"360618","15-0065928",0,"2015-10-15","19:37:28","151","Outside rubbish, trash or waste fire",1000,1000,"08","MT","Mattapan","02126","900","Outside or special property, Other","","","FOTTLER","","RD",": #3647","","WALK HILL","","ST",2000,1
"360642","15-0065502",0,"2015-10-14","00:51:55","113","Cooking fire, confined to container",500,500,"08","HP","Hyde Park","02126","429","Multifamily dwelling","705","","RIVER","","ST",": #13-3662","","","","",1000,1
"360691","15-0065609",0,"2015-10-14","14:13:21","111","Building fire",60000,15000,"12","HP","Hyde Park","02136","419","1 or 2 family dwelling","13","","ELM","","ST","","","","","",75000,1
"360717","15-0065659",0,"2015-10-14","17:09:53","100","Fire, Other",10000,10000,"06","SB","South Boston","02210","500","Mercantile, business, Other","50","","NORTHERN","","AVE","","","","","",20000,1
"360756","15-0065729",0,"2015-10-14","23:36:27","113","Cooking fire, confined to container",0,500,"12","HP","Hyde Park","02136","429","Multifamily dwelling","40","","SIERRA","","RD","","","","","",500,1
"360797","15-0065323",0,"2015-10-13","10:40:15","113","Cooking fire, confined to container",3000,3000,"12","WR","West Roxbury","02132","400","Residential, Other","37","","NEW HAVEN","","ST","","","","","",6000,1
"360883","15-0065482",0,"2015-10-13","21:46:24","117","Commercial Compactor fire, confined to rubbish",1000,1000,"09","RX","Roxbury","02119","429","Multifamily dwelling","1542","","COLUMBUS","","AVE","","","","","",2000,1
"360907","15-0065070",0,"2015-10-12","05:28:41","113","Cooking fire, confined to container",0,500,"04","BO","Boston","02118","429","Multifamily dwelling","94","W","NEWTON","","ST",": @BHA-WEST NEWTON STREET","","","","",500,1
"360925","15-0065100",0,"2015-10-12","10:24:46","131","Passenger vehicle fire",5000,0,"08","DO","Dorchester","02124","962","Residential street, road or residential driveway","41","","WINSTON","","RD","","","","","",5000,1
"360929","15-0065107",0,"2015-10-12","11:00:07","131","Passenger vehicle fire",800,400,"09","JP","Jamaica Plain","02130","963","Street or road in commercial area","3175","","WASHINGTON","","ST","","","","","",1200,1
"360953","15-0065148",0,"2015-10-12","14:06:08","130","Mobile property (vehicle) fire, Other",2000,0,"12","RS","Roslindale","02130","900","Outside or special property, Other","","","SOUTH","","ST","","","BUSSEY","","ST",2000,1
"361029","15-0064868",0,"2015-10-11","05:42:02","111","Building fire",10000,5000,"04","BO","Boston","02111","161","Restaurant or cafeteria","75","","KNEELAND","","ST","","","","","",15000,1
"361177","15-0064708",0,"2015-10-10","15:28:54","111","Building fire",400000,350000,"09","JP","Jamaica Plain","02130","419","1 or 2 family dwelling","46","","DUNSTER","","RD","","","","","",750000,1
"361341","15-0064521",0,"2015-10-09","18:21:49","111","Building fire",2000,1000,"08","DO","Dorchester","02124","419","1 or 2 family dwelling","256","","ASHMONT","","ST","","","","","",3000,1
"361363","15-0064558",0,"2015-10-09","20:48:37","111","Building fire",2500,17500,"04","BO","Boston","02116","429","Multifamily dwelling","221","","COLUMBUS","","AVE",": #WYN228","","","","",20000,1
"361381","15-0064585",0,"2015-10-09","22:13:28","131","Passenger vehicle fire",500,4000,"08","MT","Mattapan","02126","960","Street, Other","1252","","BLUE HILL","","AVE","","","","","",4500,1
"361416","15-0064175",0,"2015-10-08","09:17:37","132","Road freight or transport vehicle fire",5000,500,"04","BO","Boston","02111","963","Street or road in commercial area","104","","SOUTH","","ST","","","","","",5500,1
"361512","15-0064343",0,"2015-10-08","23:17:47","111","Building fire",10000,0,"03","BO","Boston","02111","599","Business office","41","","WEST","","ST","","","","","",10000,1
"361607","15-0064036",0,"2015-10-07","15:56:15","113","Cooking fire, confined to container",0,500,"07","DO","Dorchester","02125","429","Multifamily dwelling","975","","DORCHESTER","","AVE","","","","","",500,1
"361665","15-0063662",0,"2015-10-06","06:13:33","522","Water or steam leak",50000,0,"03","BO","Boston","02113","647","Water utility","","","PRINCE","","ST","","","SALEM","","ST",50000,1
"361676","15-0063675",0,"2015-10-06","08:08:49","118","Trash or rubbish fire, contained",500,0,"09","JP","Jamaica Plain","02130","429","Multifamily dwelling","11","","SEDGWICK","","ST","","","","","",500,1
"361724","15-0063752",0,"2015-10-06","13:19:34","113","Cooking fire, confined to container",0,1000,"07","BO","Boston","02118","429","Multifamily dwelling","35","","NORTHAMPTON","","ST","","","","","",1000,1
"361736","15-0063778",0,"2015-10-06","14:37:26","111","Building fire",5000,1000,"07","DO","Dorchester","02125","419","1 or 2 family dwelling","42","","RICHFIELD","","ST","","","","","",6000,1
"361778","15-0063865",0,"2015-10-06","21:44:57","113","Cooking fire, confined to container",0,500,"04","BO","Boston","02118","439","Boarding/rooming house, residential hotels","1734","","WASHINGTON","","ST",": #CLM736","","","","",500,1
"361779","15-0063866",0,"2015-10-06","22:22:42","113","Cooking fire, confined to container",0,500,"04","BO","Boston","02118","429","Multifamily dwelling","692","","TREMONT","","ST","","","","","",500,1
"361938","15-0063302",0,"2015-10-04","12:14:56","111","Building fire",3000,2000,"08","DO","Dorchester","02124","429","Multifamily dwelling","2","","KINGBIRD","","RD","","","","","",5000,1
"361943","15-0063319",0,"2015-10-04","13:46:55","113","Cooking fire, confined to container",1000,1000,"08","MT","Mattapan","02126","419","1 or 2 family dwelling","5","","TIVERTON","","RD","","","","","",2000,1
"361955","15-0063342",0,"2015-10-04","15:40:21","131","Passenger vehicle fire",5000,1000,"11","BR","Allston-Brighton","02134","961","Highway or divided highway","","","I90 WB","","",": @EX-WB I90 WO ALLSTON TOLL PLAZA","","ALLSTON TOLL","","PLZ",6000,1
"361961","15-0063353",0,"2015-10-04","16:23:15","131","Passenger vehicle fire",3000,0,"11","BR","Allston-Brighton","02134","963","Street or road in commercial area","","","I90 EB","","",": @EX-EB I90 AT ALLSTON TOLL PLAZA","","ALLSTON TOLL","","PLZ",3000,1
"361971","15-0063370",0,"2015-10-04","18:41:36","113","Cooking fire, confined to container",1000,1000,"03","BO","Boston","02113","400","Residential, Other","25","","HANOVER","","AVE","","","","","",2000,1
"361973","15-0063372",0,"2015-10-04","19:13:38","113","Cooking fire, confined to container",1000,1000,"01","EB","East Boston","02128","400","Residential, Other","160","","COTTAGE","","ST","","","","","",2000,1
"361979","15-0063382",0,"2015-10-04","20:11:33","113","Cooking fire, confined to container",2000,1000,"04","BO","Boston","02215","400","Residential, Other","11-15","","PARK","","DR","","","","","",3000,1
"362007","15-0062981",0,"2015-10-03","03:10:26","131","Passenger vehicle fire",14000,0,"03","CH","Charlestown","02129","900","Outside or special property, Other","25","","POLK","","ST","","","","","",14000,1
"362043","15-0063044",0,"2015-10-03","11:14:47","100","Fire, Other",0,1000,"04","BO","Boston","02118","900","Outside or special property, Other","650","","ALBANY","","ST",": #16-1654","","","","",1000,1
"362092","15-0063124",0,"2015-10-03","16:22:25","118","Trash or rubbish fire, contained",500,500,"09","RX","Roxbury","02120","429","Multifamily dwelling","40","","ANNUNCIATION","","RD","","","","","",1000,1
"362099","15-0063133",0,"2015-10-03","17:33:20","113","Cooking fire, confined to container",0,500,"04","BO","Boston","02118","429","Multifamily dwelling","26","","WORCESTER","","ST",": #13-1677","","","","",500,1
"362120","15-0063167",0,"2015-10-03","20:29:52","113","Cooking fire, confined to container",0,1000,"04","BO","Boston","02118","429","Multifamily dwelling","700","","HARRISON","","AVE","","","","","",1000,1
"362221","15-0062893",0,"2015-10-02","17:29:09","131","Passenger vehicle fire",500,100,"06","BO","Boston","02210","961","Highway or divided highway","","","I90 WB RAMP","","",": EST MASSACHUSETTS TPKE W/RAMP - RT 90","","I93","","",600,1
"362245","15-0062931",0,"2015-10-02","20:46:45","112","Fires in structure other than in a building",1000,1000,"08","DO","Dorchester","02124","419","1 or 2 family dwelling","161","","CALLENDER","","ST","","","","","",2000,1
"362279","15-0062566",0,"2015-10-01","08:38:59","111","Building fire",75000,6000,"09","JP","Jamaica Plain","02130","429","Multifamily dwelling","34","","ROBESON","","ST","","","","","",81000,1
"362331","15-0062679",0,"2015-10-01","18:08:31","111","Building fire",5000,2000,"03","BO","Boston","02113","429","Multifamily dwelling","1","","MICHELANGELO","","ST","","","","","",7000,1
"362516","15-0062414",0,"2015-09-30","15:18:01","113","Cooking fire, confined to container",1000,1000,"08","MT","Mattapan","02126","419","1 or 2 family dwelling","203","W","SELDEN","","ST","","","","","",2000,1
"362637","15-0062010",0,"2015-09-29","10:56:14","113","Cooking fire, confined to container",500,0,"11","BR","Allston-Brighton","02134","419","1 or 2 family dwelling","41","","ALLSTON","","ST","","","","","",500,1
"362713","15-0062160",0,"2015-09-29","20:41:24","111","Building fire",5000,50,"07","DO","Dorchester","02121","429","Multifamily dwelling","63","","WASHINGTON","","ST","","","","","",5050,1
"362833","15-0061928",0,"2015-09-28","22:18:50","111","Building fire",10000,3000,"04","BO","Boston","02118","429","Multifamily dwelling","89","","UNION PARK","","ST","","","","","",13000,1
"362849","15-0061506",0,"2015-09-27","02:07:18","131","Passenger vehicle fire",8000,0,"07","DO","Dorchester","02125","962","Residential street, road or residential driveway","62","","VIRGINIA","","ST","","","","","",8000,1
"362852","15-0061511",0,"2015-09-27","02:58:22","154","Dumpster or other outside trash receptacle fire",1000,0,"03","BO","Boston","02110","599","Business office","","","WASHINGTON","","ST","","","BROMFIELD","","ST",1000,1
"362907","15-0061588",0,"2015-09-27","12:51:17","111","Building fire",8000,1000,"09","RX","Roxbury","02119","429","Multifamily dwelling","16","","AKRON","","ST",": #12-2149","","","","",9000,1
"362915","15-0061603",0,"2015-09-27","13:56:35","111","Building fire",11000,5000,"09","RX","Roxbury","02119","429","Multifamily dwelling","16","","AKRON","","ST","","","","","",16000,1
